MonthYear,Station,Station_Type,Entry_Exit,Trip
2024-10-01 00:00:00.000,Aberdeen  Station,Train,Entry,71
2024-10-01 00:00:00.000,Aberdeen  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Adamstown  Station,Train,Entry,2618
2024-10-01 00:00:00.000,Adamstown  Station,Train,Exit,2627
2024-10-01 00:00:00.000,Albion Park  Station,Train,Entry,6654
2024-10-01 00:00:00.000,Albion Park  Station,Train,Exit,5896
2024-10-01 00:00:00.000,Allawah  Station,Train,Entry,63276
2024-10-01 00:00:00.000,Allawah  Station,Train,Exit,56147
2024-10-01 00:00:00.000,Arlington Light Rail,Light rail,Entry,11454
2024-10-01 00:00:00.000,Arlington Light Rail,Light rail,Exit,9682
2024-10-01 00:00:00.000,Arncliffe  Station,Train,Entry,59750
2024-10-01 00:00:00.000,Arncliffe  Station,Train,Exit,53814
2024-10-01 00:00:00.000,Artarmon  Station,Train,Entry,102749
2024-10-01 00:00:00.000,Artarmon  Station,Train,Exit,98111
2024-10-01 00:00:00.000,Ashfield  Station,Train,Entry,263508
2024-10-01 00:00:00.000,Ashfield  Station,Train,Exit,262891
2024-10-01 00:00:00.000,Asquith  Station,Train,Entry,30490
2024-10-01 00:00:00.000,Asquith  Station,Train,Exit,26990
2024-10-01 00:00:00.000,Auburn  Station,Train,Entry,388451
2024-10-01 00:00:00.000,Auburn  Station,Train,Exit,370482
2024-10-01 00:00:00.000,Austinmer  Station,Train,Entry,2554
2024-10-01 00:00:00.000,Austinmer  Station,Train,Exit,2026
2024-10-01 00:00:00.000,Awaba  Station,Train,Entry,524
2024-10-01 00:00:00.000,Awaba  Station,Train,Exit,452
2024-10-01 00:00:00.000,Banksia  Station,Train,Entry,37216
2024-10-01 00:00:00.000,Banksia  Station,Train,Exit,33657
2024-10-01 00:00:00.000,Bankstown  Station,Train,Entry,43003
2024-10-01 00:00:00.000,Bankstown  Station,Train,Exit,45708
2024-10-01 00:00:00.000,Barangaroo  Station,Metro,Entry,205979
2024-10-01 00:00:00.000,Barangaroo  Station,Metro,Exit,230943
2024-10-01 00:00:00.000,Bardwell Park  Station,Train,Entry,28235
2024-10-01 00:00:00.000,Bardwell Park  Station,Train,Exit,26310
2024-10-01 00:00:00.000,Bargo  Station,Train,Entry,1282
2024-10-01 00:00:00.000,Bargo  Station,Train,Exit,1143
2024-10-01 00:00:00.000,Bathurst  Station,Train,Entry,2824
2024-10-01 00:00:00.000,Bathurst  Station,Train,Exit,1947
2024-10-01 00:00:00.000,Beecroft  Station,Train,Entry,33375
2024-10-01 00:00:00.000,Beecroft  Station,Train,Exit,32080
2024-10-01 00:00:00.000,Bell  Station,Train,Entry,102
2024-10-01 00:00:00.000,Bell  Station,Train,Exit,86
2024-10-01 00:00:00.000,Bella Vista  Station,Metro,Entry,81844
2024-10-01 00:00:00.000,Bella Vista  Station,Metro,Exit,79326
2024-10-01 00:00:00.000,Bellambi  Station,Train,Entry,2502
2024-10-01 00:00:00.000,Bellambi  Station,Train,Exit,2233
2024-10-01 00:00:00.000,Berala  Station,Train,Entry,41790
2024-10-01 00:00:00.000,Berala  Station,Train,Exit,39257
